ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2;nb_digits_code_INSEE;code_commune_n
COMMUNE_0000000009749072;39275;39;27;243900354.0;LAMOURA;630;8.0;2210.0;5;39275
COMMUNE_0000000009745380;21040;21;27;200071017.0;AVOSNES;86;1.0;1231.0;5;21040
COMMUNE_0000000009745579;25439;25;27;242504447.0;OUGNEY DOUVOT;249;;;5;25439
COMMUNE_0000000009760674;81237;81;76;243100567.0;SAINT AMANCET;190;;;5;81237
COMMUNE_0000000009745266;25595;25;27;242504371.0;VELLEROT LES BELVOIR;98;;;5;25595
COMMUNE_0000000009731301;8070;8;44;200043156.0;BLANZY LA SALONNAISE;329;4.0;1041.0;5;08070
COMMUNE_0000000009756353;33501;33;75;243301264.0;SAUCATS;2956;33.0;2990.0;5;33501
COMMUNE_0000000009747272;58176;58;27;200067908.0;MONTIGNY AUX AMOGNES;603;3.0;894.0;5;58176
COMMUNE_0000000009755614;33485;33;75;200035533.0;SAINTE TERRE;1891;25.0;1812.0;5;33485
COMMUNE_0000000009747200;39477;39;27;243901089.0;SAINT BARAING;264;;;5;39477
COMMUNE_0000000009758025;82138;82;76;248200016.0;PERVILLE;135;;;5;82138
COMMUNE_0000000009748906;71156;71;27;200069698.0;CRUZILLE;261;3.0;1216.0;5;71156
COMMUNE_0000000009747597;85065;85;52;200071918.0;CHAVAGNES EN PAILLERS;3543;47.0;1262.0;5;85065
COMMUNE_0000000009743858;52493;52;44;200070332.0;TORNAY;33;;;5;52493
COMMUNE_0000000009728811;80664;80;32;200037059.0;RANCOURT;201;;;5;80664
COMMUNE_0000000009752068;63296;63;84;246301097.0;RAVEL;708;5.0;1327.0;5;63296
COMMUNE_0000000009731896;57749;57;44;200067650.0;VOELFLING LES BOUZONVILLE;154;;;5;57749
COMMUNE_0000000009728664;80648;80;32;248000747.0;PYS;119;1.0;1383.0;5;80648
COMMUNE_0000000009729340;2435;2;32;240200600.0;LOGNY LES AUBENTON;74;2.0;755.0;5;02435
COMMUNE_0000000009756991;33204;33;75;200044394.0;HURE;514;8.0;1093.0;5;33204
COMMUNE_0000000009758804;81010;81;76;200034031.0;AMBIALET;455;7.0;890.0;5;81010
